Date,Description,Withdrawal (DR),Deposit (CR),Balance
24/01,DUITNOW TRSF DR 221127,2000.0,0.0,10587.73
24/01,TSFR FUND DR-ATM/EFT 293930,4500.0,0.0,6087.73
25/01,DEP-CASH CDT 2896 031098,0.0,5000.0,11087.73
25/01,DEP-CASH CDT 2896 031100,0.0,4950.0,16037.73
25/01,DEP-CASH CDT 2896 031102,0.0,4950.0,20987.73
25/01,DEP-CASH CDT 2896 031104,0.0,5000.0,25987.73
25/01,DEP-CASH CDT 2896 031106,0.0,4950.0,30937.73
25/01,DEP-CASH CDT 2896 031108,0.0,50.0,30987.73
25/01,DEP-CASH CDT 2896 031111,0.0,100.0,31087.73
25/01,DUITNOW TRSF CR 086664,0.0,4500.0,35587.73
26/01,DEP-ECP 227415,0.0,1000.0,36587.73
26/01,TSFR FUND CR-ATM/EFT 383005,0.0,150000.0,186587.73
26/01,CHEQ 344388 344388,150000.0,0.0,36587.73
26/01,CHQ PROCESS FEE DR 344388,0.5,0.0,36587.23
26/01,DUITNOW TRSF DR 308212,402.0,0.0,36185.23
26/01,DUITNOW TRSF DR 445987,25000.0,0.0,11185.23
29/01,TSFR FUND CR-ATM/EFT 279822,0.0,60000.0,71185.23
29/01,TSFR FUND CR-ATM/EFT 405743,0.0,100000.0,171185.23
29/01,CHEQ 344389 344389,100000.0,0.0,71185.23
29/01,CHQ PROCESS FEE DR 344389,0.5,0.0,71184.73
29/01,DUITNOW TRSF DR 369012,20.0,0.0,71164.73
29/01,DUITNOW TRSF DR 369370,60800.0,0.0,10364.73
30/01,TSFR FUND CR-ATM/EFT 011224,0.0,5000.0,15364.73
30/01,TSFR FUND CR-ATM/EFT 438051,0.0,145000.0,160364.73
30/01,DUITNOW TRSF DR 034600,2130.98,0.0,158233.75
30/01,DUITNOW TRSF DR 317492,4800.0,0.0,153433.75
30/01,DUITNOW TRSF DR 345947,200.0,0.0,153233.75
30/01,DUITNOW TRSF DR 477062,145000.0,0.0,8233.75
31/01,TSFR FUND CR-ATM/EFT 952373,0.0,16150.0,24383.75
31/01,AUTOMATED LOAN PYMT TO 8010507732 AT H25,948.0,0.0,23435.75
31/01,DUITNOW TRSF DR 783262,150.0,0.0,23285.75
